analysis_id,9j68jzukm3319c8
parameter_id,IMPC_CBC_012_001
parameter_name,Aspartate aminotransferase
gene_symbol,Lpgat1
mouse_strain,C57BL
gene_accession_id,MGI:2446186
pvalue,0.1801535
mouse_life_stage,Middle aged adult
