analysis_id,53zc782uq888y48
pvalue,0.2015337
mouse_life_stage,Early adult
parameter_id,ESLIM_001_001_117
gene_symbol,Ap5s1
mouse_strain,C57BL
parameter_name,eye size
gene_accession_id,MGI:1916846
