analysis_id,79g9sw2296313u3
gene_symbol,Fgb
parameter_name,Snout morphology
parameter_id,MGP_CSD_066_001
pvalue,0.5563323
gene_accession_id,MGI:99501
mouse_life_stage,E15.5
mouse_strain,C57BL
