parameter_name,Latency to center entry
gene_symbol,Kdm4c
parameter_id,IMPC_OFD_018_001
analysis_id,07ot5m83t1axx1d
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
pvalue,0.4333652
