gene_symbol,Zmynd8
parameter_name,center - resting time
analysis_id,2573pecls50065q
gene_accession_id,MGI:1918025
pvalue,0.9058594
mouse_strain,C57BL
parameter_id,M-G-P_007_001_011
mouse_life_stage,Early adult
