analysis_id,k6986a2lo48i1q8
pvalue,0.7758719
gene_symbol,Pld1
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,GMC_906_001_005
parameter_name,Potassium
