parameter_name,Red blood cell count
analysis_id,259se8g0h18a481
gene_accession_id,MGI:1917810
parameter_id,ESLIM_016_001_002
mouse_strain,C57BL
gene_symbol,Wars2
pvalue,0.6997662
mouse_life_stage,E12.5
