gene_symbol,Zyg11b
mouse_life_stage,E18.5
parameter_id,IMPC_XRY_033_001
gene_accession_id,MGI:2685277
pvalue,0.9666463
parameter_name,Tibia length
analysis_id,71kuxl9n78ctdbc
mouse_strain,C57BL
