gene_symbol,Sgip1
parameter_name,CD8 CD44-CD62L+ T cells
mouse_life_stage,Early adult
pvalue,0.06253679
parameter_id,IMPC_IMM_034_001
analysis_id,0c9900x8mld35fs
mouse_strain,C57BL
gene_accession_id,MGI:1920344
