parameter_id,IMPC_GPO_002_001
mouse_life_stage,Early adult
gene_symbol,Mms22l
analysis_id,04brjii4vit4o04
parameter_name,Placenta Morphology
pvalue,0.5422356
mouse_strain,129SV
gene_accession_id,MGI:2684980
