analysis_id,1ezc5920mu8w0ll
mouse_life_stage,Early adult
pvalue,0.3656235
mouse_strain,C57BL
parameter_name,Embryo turning
gene_accession_id,MGI:1933159
parameter_id,IMPC_GEL_011_001
gene_symbol,Rnf114
