analysis_id,hb4d644u2kh54zp
parameter_id,IMPC_XRY_064_001
parameter_name,Thoracic processes
mouse_life_stage,Early adult
pvalue,0.5093358
mouse_strain,C57BL
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
