analysis_id,640fj5nr71938zc
parameter_id,MGP_PBI_035_001
gene_symbol,Dhdds
mouse_life_stage,Early adult
pvalue,0.9334436
mouse_strain,C57BL
gene_accession_id,MGI:1914672
parameter_name,IgD+ mature B cell number
