analysis_id,95qu17a101nq7x7
pvalue,0.9476373
mouse_strain,C57BL
parameter_id,IMPC_CSD_070_001
parameter_name,Lower teeth appearance
gene_accession_id,MGI:1341628
gene_symbol,Atrn
mouse_life_stage,Early adult
