parameter_name,Creatinine
parameter_id,JAX_URI_002_001
mouse_strain,C57BL
gene_symbol,Cpa3
gene_accession_id,MGI:88479
analysis_id,s245h4kdn129c76
mouse_life_stage,Early adult
pvalue,0.5060371
