parameter_name,Body position
mouse_strain,C57BL
analysis_id,bs72040609c64i4
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_001
gene_accession_id,MGI:107414
pvalue,0.7057041
gene_symbol,Tnfsf10
