analysis_id,2m33w22073w1869
mouse_strain,C57BL
parameter_name,Hindlimb digit - size
pvalue,0.8968308
mouse_life_stage,Early adult
gene_symbol,Rab13
gene_accession_id,MGI:1927232
parameter_id,IMPC_CSD_047_001
