gene_symbol,Mapkap1
analysis_id,1lpq6048ar1343i
mouse_strain,C57BL
parameter_name,Neural tube morphology
mouse_life_stage,E15.5
pvalue,0.5654083
gene_accession_id,MGI:2444554
parameter_id,IMPC_GEL_060_001
