parameter_name,Ly6Clow monocyte number
pvalue,0.5401029
gene_accession_id,MGI:1920638
parameter_id,MGP_PBI_038_001
gene_symbol,Bpifa3
mouse_life_stage,Early adult
analysis_id,v4c96cjei0ocl44
mouse_strain,C57BL
