mouse_strain,C57BL
gene_accession_id,MGI:1334458
mouse_life_stage,Early adult
parameter_id,MGP_PBI_004_001
gene_symbol,Pex19
parameter_name,CD8+ alpha beta T cell percentage
pvalue,0.9385624
analysis_id,530b8l4zy13t8e8
