analysis_id,3d8947546225725
gene_accession_id,MGI:2441730
mouse_strain,C57BL
parameter_id,IMPC_IMM_067_001
parameter_name,Follicular B Cells (CD21/35+)
pvalue,0.4649073
gene_symbol,Tbl1xr1
mouse_life_stage,Early adult
