analysis_id,d1l44247zka88ny
parameter_name,Coat - hair distribution - head
pvalue,0.2062794
gene_symbol,Sla2
parameter_id,IMPC_CSD_012_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1925049
