parameter_name,Prepulse inhibition - PP4
gene_accession_id,MGI:103302
pvalue,0.5900948
parameter_id,ESLIM_011_001_704
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Bmp7
analysis_id,668b24b8jsy105z
