gene_symbol,Maco1
pvalue,0.3149572
gene_accession_id,MGI:1913396
mouse_strain,C57BL
parameter_id,IMPC_ECG_028_001
mouse_life_stage,Early adult
parameter_name,QT
analysis_id,j34j59vdn0790bh
