parameter_name,Vibrissae - presence
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_id,JAXLA_CSD_023_001
mouse_life_stage,Late adult
pvalue,0.9344265
analysis_id,9sji008r683d5x2
gene_symbol,Secisbp2l
