gene_symbol,Ninl
analysis_id,7f7yhc8sl0g02hs
pvalue,0.9075993
parameter_name,Neutrophil percentage
mouse_strain,129SV
parameter_id,MGP_PBI_019_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1925427
