parameter_name,DN CD44+CD62L+ NKT cells
mouse_life_stage,Early adult
analysis_id,99x8mat0g0461mh
parameter_id,IMPC_IMM_047_001
gene_accession_id,MGI:2444113
pvalue,0.6493163
gene_symbol,Nemp2
mouse_strain,C57BL
