parameter_id,MGP_MLN_072_001
pvalue,0.1304581
gene_symbol,Dnajc5b
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_strain,C57BL
analysis_id,0sr7637k80568du
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
