analysis_id,ye14f2j4j6ua28w
gene_accession_id,MGI:88174
pvalue,0.4528843
mouse_life_stage,E15.5
parameter_id,IMPC_ACS_036_001
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI4
gene_symbol,Bmi1
