parameter_id,IMPC_DXA_010_001
pvalue,0.2391202
gene_accession_id,MGI:2181659
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Bone Area
gene_symbol,Tox
analysis_id,zm129h70289g794
