analysis_id,87020h7946oyg8q
parameter_name,Eye
mouse_strain,C57BL
pvalue,0.785894
gene_symbol,Abo
gene_accession_id,MGI:2135738
mouse_life_stage,Early adult
parameter_id,M-G-P_013_001_001
