analysis_id,0mo9k76t8f49bup
parameter_id,IMPC_EYE_056_001
parameter_name,Mean left eye lens density
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
pvalue,0.1001295
