analysis_id,76joh25uz4waq5d
pvalue,0.3603512
gene_accession_id,MGI:1924315
gene_symbol,Ints7
mouse_strain,C57BL
parameter_name,Breath rate during sleep mean
mouse_life_stage,E9.5
parameter_id,JAX_SLW_013_001
