gene_symbol,Maco1
pvalue,0.9124282
parameter_id,M-G-P_012_001_005
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Body Weight
analysis_id,087bc58gny6303a
gene_accession_id,MGI:1913396
