analysis_id,460a1ism5n32boc
parameter_id,IMPC_DXA_009_001
pvalue,0.302505
gene_symbol,Dhdds
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
mouse_strain,C57BL
parameter_name,Fat/Body weight
