analysis_id,4ly218u1m3lrrpj
mouse_strain,C57BL
parameter_id,HMGULA_SHI_009_001
mouse_life_stage,Late adult
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,Startle response
pvalue,0.1867651
