parameter_id,IMPC_CAL_008_001
mouse_life_stage,Early adult
analysis_id,7268x31klga6o33
pvalue,0.2405168
mouse_strain,C57BL
gene_accession_id,MGI:1921442
gene_symbol,Arpc5l
parameter_name,Total food intake
