gene_symbol,Inpp1
mouse_life_stage,Early adult
mouse_strain,129SV
analysis_id,15552286w9x1bps
parameter_id,MGP_IMM_001_001
pvalue,0.8124292
parameter_name,Total T cells - % of CD45+
gene_accession_id,MGI:104848
