analysis_id,63011zs11cost7q
parameter_id,ESLIM_011_001_002
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
parameter_name,PP1 startle magnitude
mouse_strain,129SV
pvalue,0.2211605
gene_symbol,Zmynd8
