gene_symbol,Extl1
parameter_id,IMPC_HEM_027_001
analysis_id,0hg64073vr0h7e0
parameter_name,Red blood cell distribution width
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1888742
pvalue,0.08915928
