parameter_name,Periphery - Permanence Time
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_007_001_008
pvalue,0.453684
gene_symbol,Pld1
analysis_id,62vae42q6536q0b
