parameter_name,Left total retinal thickness
mouse_life_stage,E12.5
analysis_id,q5zmxb576tey87u
gene_symbol,Hspa5
mouse_strain,C57BL
parameter_id,IMPC_EYE_068_001
gene_accession_id,MGI:95835
pvalue,0.6208039
