analysis_id,m9u5s884m7ml2ce
gene_accession_id,MGI:1914071
parameter_name,Alkaline phosphatase
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1738233
gene_symbol,Bcs1l
