parameter_name,Mean platelet volume
parameter_id,IMPC_HEM_019_001
mouse_strain,C57BL
pvalue,0.5107697
gene_symbol,Zyg11b
analysis_id,71yzh4pitqjo269
gene_accession_id,MGI:2685277
mouse_life_stage,Early adult
