analysis_id,3xy5vxon4x08tkt
mouse_strain,C57BL
pvalue,0.9545873
gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
parameter_name,Startle response
parameter_id,MGP_CSD_008_001
mouse_life_stage,Early adult
