parameter_name,CD8 CD44-CD62L+ T cells
parameter_id,IMPC_IMM_034_001
mouse_life_stage,E9.5
analysis_id,9sd69h48pk5576k
gene_accession_id,MGI:1913483
mouse_strain,C57BL
pvalue,0.07068955
gene_symbol,Dmap1
