analysis_id,688h95158u59751
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
pvalue,0.248731
parameter_id,IMPC_EYE_006_001
mouse_life_stage,E18.5
parameter_name,Narrow eye opening
mouse_strain,C57BL
