parameter_id,JAX_LDT_005_001
gene_accession_id,MGI:894679
analysis_id,k104hy930d95116
mouse_strain,C59BL
mouse_life_stage,Early adult
gene_symbol,Bach2
pvalue,0.9955277
parameter_name,Time mobile dark side
