parameter_name,Corneal vascularization
pvalue,0.4417815
gene_accession_id,MGI:1924054
mouse_strain,C57BL
gene_symbol,Kdm4c
parameter_id,IMPC_EYE_009_001
mouse_life_stage,Early adult
analysis_id,9h7ngyo3dp51v93
