parameter_name,MZB (CD21/35 high)
mouse_strain,C57BL
gene_symbol,Rhbg
parameter_id,IMPC_IMM_071_001
mouse_life_stage,Early adult
analysis_id,ng3r341k0kkp665
gene_accession_id,MGI:1927379
pvalue,0.7240977
