gene_symbol,Slc28a2
gene_accession_id,MGI:1913105
mouse_strain,C57BL
analysis_id,ggt0v26y88s3plb
parameter_id,IMPC_XRY_018_001
pvalue,0.7466342
parameter_name,Shape of vertebrae
mouse_life_stage,Early adult
