gene_symbol,Nipal3
mouse_strain,129SV
parameter_name,Total cholesterol
mouse_life_stage,Early adult
pvalue,0.1319881
gene_accession_id,MGI:1921802
parameter_id,IMPC_CBC_015_001
analysis_id,0b864ie0md7gc7k
