gene_symbol,Duoxa2
analysis_id,8m60m4xc9m8swog
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_021_001
pvalue,0.9560153
parameter_name,Hindlimbs - shape
gene_accession_id,MGI:1914061
