analysis_id,g0822n951v2b9z0
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
pvalue,0.1781155
mouse_strain,C57BL
parameter_name,Eyelid morphology
gene_symbol,Tox
parameter_id,IMPC_EYE_004_001
