parameter_name,Total bilirubin
gene_accession_id,MGI:2446186
parameter_id,IMPC_CBC_008_001
mouse_life_stage,Middle aged adult
analysis_id,bump0ga5f1a59q6
mouse_strain,C57BL
gene_symbol,Lpgat1
pvalue,0.8644164
