gene_symbol,Extl1
analysis_id,y52055pwb7gxr6f
pvalue,0.6477681
parameter_id,MGP_IMM_081_001
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1888742
