gene_symbol,Fgb
parameter_id,IMPC_ABR_002_001
analysis_id,gr0wf161kq2hy7r
gene_accession_id,MGI:99501
mouse_life_stage,Early adult
pvalue,0.9336168
parameter_name,Click-evoked ABR threshold
mouse_strain,C57BL
