analysis_id,9w6accn6v47ep27
parameter_id,IMPC_HEM_008_001
pvalue,0.8759937
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
parameter_name,Platelet count
