analysis_id,60a68a56hd25j22
mouse_strain,C57BL
pvalue,0.8106592
gene_accession_id,MGI:1309468
parameter_id,ESLIM_016_001_005
mouse_life_stage,Early adult
gene_symbol,Casq1
parameter_name,Mean cell volume
