analysis_id,6838b58u3q5v113
gene_accession_id,MGI:1916043
mouse_strain,C57BL
pvalue,0.4992975
gene_symbol,Rab3gap2
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_011
parameter_name,center - resting time
