parameter_name,Anophthalmia
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
parameter_id,IMPC_GEO_048_002
analysis_id,174v4j7862p9483
mouse_strain,C57BL
pvalue,0.2138483
mouse_life_stage,E15.5
