analysis_id,081q70ukls0824l
gene_symbol,Nemp2
parameter_id,IMPC_HEM_036_001
pvalue,0.5753245
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Eosinophil cell count
