parameter_name,Lens
gene_accession_id,MGI:2685277
analysis_id,1u79818899qy5xm
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_id,IMPC_EYE_016_001
gene_symbol,Zyg11b
pvalue,0.9231615
