parameter_name,Iris/Pupil
analysis_id,oj4dxpa7q23lzq4
gene_symbol,Secisbp2l
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.8492827
parameter_id,IMPC_EYE_010_001
gene_accession_id,MGI:1917604
